name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-616-3p	0	0	11	0
hsa-miR-203a-5p	2	0	0	0
hsa-miR-543	0	0	3	0
hsa-miR-3680-5p	0	0	7	0
hsa-miR-520b-3p	1	0	7	0
hsa-miR-145-5p	23	0	248	32
hsa-miR-664a-5p	390	0	1706	427
hsa-miR-190a-5p	469	0	2907	1486
hsa-miR-582-5p	6	0	32	15
hsa-miR-221-5p	10	0	39	14
hsa-miR-4659a-5p	0	0	2	0
hsa-miR-15b-5p	849	0	8806	117
hsa-miR-4688	3	0	15	0
hsa-miR-517c-3p	0	0	9	10
hsa-miR-4326	16	0	69	14
hsa-miR-3622b-5p	0	0	4	0
hsa-miR-4683	0	0	5	0
hsa-miR-6762-3p	0	0	11	0
hsa-miR-1255a	2	0	7	0
hsa-miR-17-3p	11	0	152	16
hsa-miR-139-5p	9	0	73	0
hsa-miR-151a-5p	6289	0	36778	6679
hsa-miR-192-5p	1329	0	1850	2291
hsa-miR-4757-5p	0	0	2	0
hsa-miR-197-3p	6605	0	5129	6419
hsa-miR-3942-5p	0	0	22	13
hsa-miR-215-5p	107	0	189	147
hsa-miR-1288-3p	5	0	8	0
hsa-miR-576-5p	375	0	209	167
hsa-miR-1306-5p	8	0	18	2
hsa-miR-516b-5p	127	0	141	113
hsa-miR-652-5p	0	0	21	0
hsa-miR-10396b-3p	0	0	9	0
hsa-miR-6751-5p	0	0	3	0
hsa-miR-148b-5p	191	0	1131	349
hsa-miR-548ah-3p	4	0	14	3
hsa-miR-6844	0	0	0	2
hsa-miR-186-5p	3908	0	42609	3310
hsa-miR-4679	0	0	4	4
hsa-miR-454-5p	0	0	0	3
